Date,WU_SFH_Num,WU_SFH_Gal,WU_MFH_Num,WU_MFH_Gal,WU_Com_Num,WU_Com_Gal,WU_Ind_Num,WU_Ind_Gal,CL_Days_GT001Prec,CL_Days_GT010Prec,CL_Days_MinLT32Temp,CL_Days_MaxGT90Temp,CL_Days_MinLT0Temp,CL_Days_MaxLT32Temp,CL_Dep_AveTemp,CL_Dep_MaxTemp,CL_Dep_MinTemp,CL_Dep_Prec,CL_GR_Prec,CL_MAX_SLPress,CL_MaxTemp,CL_MeanTemp,CL_MinSLPress,CL_MinTemp,CL_SLPress,CL_StaPress,CL_Tot_Prec,CL_Tot_Snowfall,CL_ShortDur_005Prec,CL_ShortDur_060Prec,CL_ShortDur_180Prec,EC_Mdol_Imports_N,EC_NPer_Unemp_N,EC_NPer_Emp_N,EC_Perc_LaborPartic_S,EC_N1UnitHU_Permit_S,EC_NTotHU_Permit_S,EC_TPer_Const_N,EC_TPer_EducHealth_N,EC_TPer_Fin_N,EC_TPer_Mfg_N,EC_TPer_NonFarm_N,EC_CoincEconActInd_S,EC_Perc_Unemp_N,EC_Tper_3MoCh_NonFarm_S,EC_TPer_TotPri_S,EC_Tper_3MoCh_TotPri_S,EC_TPer_TranUtil_S,EC_TPer_LeisHosp_S,EC_TPer_StateGov_S,EC_TPer_TotPri_N,EC_TPer_TranUtil_N,EC_TPer_LeisHosp_N,EC_TPer_StateGov_N
5/1/2017,48338,210886327.5,19267,174268850.6,4316,124017454.6,70,10088119.44,13,10,0,2,0,0,-0.4,-2.2,1.4,3.52,2.55,30.39,66.2,58.1,29.45,50,29.9,29.84,6.89,0,0,0,0,717.478054,22278,528720,64.7,83.49835629,91.23256578,18.7,108.4,35.8,40.4,502.1,119.63,4,0.5,432.3,0.4,11.5,9.3,20,436.1,11.6,9.7,20.7
6/1/2017,47472,259191343.1,18942,180514062.2,4330,135820656.1,52,14874437.32,16,8,0,2,0,0,0.8,1,0.6,0.45,2.22,30.15,78.5,68.8,29.56,59,29.9,29.84,4.26,0,0,0,0,725.223768,23636,533731,64.7,93.638424,101.0950233,19.3,103.5,36.1,40.7,503.4,119.88,4.2,0.8,433.1,0.7,11.6,9.6,20,439.7,11.9,11.2,18.6
7/1/2017,47337,340972876,19225,200006860,4340,155868117,48,11722756,9,6,0,4,0,0,-0.8,-1.5,-0.2,0.55,1.02,30.24,81.3,72.7,29.67,64,29.97,29.9,3.46,0,0,0,0,871.89831,26874,533960,64.7,94.71664256,103.769731,19.5,102.7,36,40,498.8,120.08,4.8,0.3,432.9,0.1,11.7,9.5,20.2,438.1,11.1,11.7,18.7
8/1/2017,46048,365592855,19080,196257482,4317,166316138,45,13674218,9,4,0,2,0,0,-0.4,0,-0.9,-2.13,0.51,30.36,81.4,71.9,29.71,62.3,30.03,29.97,1.46,0,0,0,0,917.852577,26015,531453,64.7,142.2017265,127.0167028,19.6,102.7,36.1,40.5,499.3,120.12,4.7,0.8,434.5,0.7,11.7,9.6,20.1,439,11,11.6,18.6
9/1/2017,47376,363537469,19261,197275781,4350,157661780,47,12252084,10,6,0,0,0,0,3.4,2.8,3.9,-0.32,1.71,30.34,77,68.1,29.68,59.2,30.03,29.97,3.85,0,0,0,0,693.256333,22522,534412,64.7,84.37101056,90.81200394,19.3,105.8,36,40.4,503.3,120.3,4,0.1,433.5,0.1,11.9,9.3,20.2,437.6,12.1,9.9,20.8
10/1/2017,47378,289173253,19273,180252286,4340,149330441,49,14716127,9,8,0,0,0,0,7.6,7.7,7.5,1.51,2.34,30.67,71,61.2,29.04,51.4,30.1,30.03,5.44,0,0.2,0.74,1.08,788.693291,21947,534248,64.7,85.44584928,94.48580763,19.3,107.6,35.7,40.5,503.3,120.46,3.9,0,433,0,12.1,9.3,20,437.5,12.3,9.6,20.6
11/1/2017,42889,205181571,13543,121056169,3549,112384120,39,10829818,11,5,12,0,0,0,-0.4,0.3,-1.1,-1.57,1.28,30.55,53.5,44.1,29.18,34.6,30.1,30.03,2.94,0,0.15,0.36,0.5,988.252364,24576,534420,64.7,77.16298764,86.97821113,19.2,108.3,35.9,40.7,503.8,120.44,4.4,-0.2,434.1,-0.1,12,9.5,20,438.2,12.4,8.8,20.5
12/1/2017,47439,195064472,19252,161674668,4299,110668942,48,12038898,12,6,27,0,0,9,-3.2,-3.9,-2.5,-1.65,0.79,30.49,38.4,31.1,29.28,23.8,30.04,29.96,2.57,5.1,0,0,0,1144.737401,23522,533987,64.7,70.1940483,83.29346423,18.7,107.8,35.8,41,502.9,120.88,4.2,0.2,434.1,0.2,12.2,9.4,20.1,436.9,13.1,8.5,20.5
1/1/2018,47324,212392795,19250,184647139,4300,120113634,49,12724640,9,7,26,0,1,11,0,0,-0.1,2.63,3.33,30.72,37.4,29.2,28.86,20.9,30.14,30.06,6.49,21.1,0.19,0.51,1.06,786.723894,29238,524729,64.7,70.76660348,77.69648968,16.5,103.3,35.3,40.5,483,120.96,5.3,-0.4,431.9,-0.4,12.2,9.5,19.9,417.7,12,7.8,20.3
2/1/2018,37196,154873562,16765,163387782,3701,121836837,44,11886924,16,12,18,0,0,1,7.6,8.5,6.8,2.16,1.37,30.83,48.8,39.6,29.49,30.4,30.21,30.13,5.45,5.7,0.05,0.26,0.58,734.686758,28999,530310,64.8,86.44040985,117.5980188,17.2,106.8,35.4,40.7,489.2,121.45,5.2,0.1,434.3,0.1,12,9.4,19.9,423.8,11.8,7.8,20.3
3/1/2018,47376,197393936,19239,173264655,4279,115903112,46,10560953,12,4,18,0,0,0,-0.1,-1.7,1.5,-0.16,2.56,30.72,46.1,38.8,29.14,31.5,29.88,29.81,4.85,13.1,0.1,0.31,0.81,867.423244,25340,530371,64.9,77.53163996,116.7827717,17.4,107.4,35.3,40.9,490.9,121.85,4.6,0.1,434.9,0.3,12.2,9.5,19.8,425.5,12,8,20.3
4/1/2018,47418,189077493,19263,169427009,4290,101820054,47,10580363,14,9,8,0,0,0,-3.3,-3.5,-3.2,1.48,2,30.5,55.1,45.8,29.37,36.4,29.98,29.92,5.84,3.6,0.11,0.48,0.87,847.373123,21637,533524,64.9,78.53038588,106.5028112,18.7,108.8,35.4,40.6,498.6,122.52,3.9,1.1,435.1,1.1,12.1,9.5,19.9,433.1,11.9,8.9,20.4
5/1/2018,47427,210593698,19260,170466478,4305,124450547,47,10483015,10,8,0,2,0,0,4.5,4.9,4.2,-1.22,0.58,30.44,73.3,63,29.71,52.8,30.04,29.97,2.33,0,0.3,0.52,0.58,850.511266,20319,535073,64.9,88.26770797,126.1592791,19.6,108.6,35.3,40.6,506.4,122.97,3.7,0.7,435.6,0.4,12.1,9.5,19.9,439.5,12.2,9.9,20.6
6/1/2018,47388,279670753,19257,187793653,4300,122873807,49,10647683,8,6,0,1,0,0,-0.4,-0.6,-0.2,-0.93,1.45,30.27,76.9,67.6,29.6,58.2,29.94,29.87,2.71,0,0.25,0.85,1.3,745.920276,21406,539284,64.9,65.1839538,78.21339852,20.1,104.2,35.5,40.6,506.1,123.16,3.8,0.4,435.5,0.2,12.1,9.7,19.8,442.1,12.4,11.4,18.4
7/1/2018,47370,404995650,19238,176628598,4304,146334307,50,11334511,9,3,0,4,0,0,2.1,2.2,1.9,-1.99,0.59,30.37,85,75.6,29.77,66.1,30.09,30.02,1.3,0,0.16,0.49,0.59,846.793666,24052,540825,64.8,77.74758701,99.06027791,20.3,103.6,35.5,39.8,502.4,123.4,4.3,0.5,436.3,0.4,12.1,9.8,20,441.5,11.5,12.1,18.5
8/1/2018,47427,402636317,19281,208446059,4333,179697385,50,13417026,11,6,0,11,0,0,4.7,4.1,5.2,1.72,1.62,30.35,85.5,77,29.61,68.4,30.01,29.95,5.32,0,0.31,0.98,1.43,991.781944,23112,535593,64.7,73.62905469,143.2199317,20.4,103.1,35.4,40.4,502.2,123.84,4.1,0.1,436.6,0.3,11.9,9.9,20,441.7,11.4,11.9,18.5
9/1/2018,47460,340004525,19311,181917245,4331,168313874,50,10002608,13,10,0,3,0,0,2.9,0.6,5.1,3.89,3.43,30.6,74.8,67.6,29.72,60.4,30.19,30.11,7.81,0,0.25,1.21,1.7,843.246317,19310,537432,64.7,64.25618275,68.4646382,20.3,107,35.2,40.3,507.1,124.02,3.5,0.4,436.1,0.2,12.2,9.3,20.1,440.5,12.4,10,20.8
10/1/2018,47510,263905538,19344,180561112,4354,132173664,50,11399281,13,8,5,0,0,0,-0.6,-1.4,0.3,2.12,2.05,30.49,61.9,53,29.43,44.2,30.02,29.96,6.05,0,0.15,0.66,0.79,1049.107208,17966,540377,64.6,84.58684389,89.73081996,20.3,109.5,35.4,40.1,507.4,124.24,3.2,0.2,437.2,0.3,12.2,7.5,20.2,441.4,12.4,7.8,20.8
11/1/2018,47521,204220093,19374,183532526,4331,127248779,49,9305875,13,13,11,0,0,2,-3.1,-4.6,-1.6,6.06,2,30.64,48.6,41.4,29.23,34.1,30.03,29.96,10.57,6,0.14,0.58,1.1,905.015577,20490,540235,64.6,78.18310495,84.88317151,20.1,110.1,35.3,40.1,507.1,124.44,3.7,0.1,437,0.1,12.2,7.4,20.1,441.1,12.6,6.7,20.6
